Percentage of ED visits by syndrome: COVID-19-Like Illness Shortness of Breath and Pneumonia
Date generated: Wed Oct 07 2020 13:47:13 GMT+0530 (India Standard Time)

Geography,Date,Syndrome,Percent
Arizona,2020-08-23,CLI,2.7
Arizona,2020-08-24,CLI,2.3
Arizona,2020-08-25,CLI,2.8
Arizona,2020-08-26,CLI,2.9
Arizona,2020-08-27,CLI,2.8
Arizona,2020-08-28,CLI,2.3
Arizona,2020-08-29,CLI,2.6
Arizona,2020-08-30,CLI,2.5
Arizona,2020-08-31,CLI,2.3
Arizona,2020-09-01,CLI,1.9
Arizona,2020-09-02,CLI,1.9
Arizona,2020-09-03,CLI,2.2
Arizona,2020-09-04,CLI,1.8
Arizona,2020-09-05,CLI,2.2
Arizona,2020-09-06,CLI,2
Arizona,2020-09-07,CLI,1.9
Arizona,2020-09-08,CLI,1.8
Arizona,2020-09-09,CLI,1.8
Arizona,2020-09-10,CLI,1.9
Arizona,2020-09-11,CLI,2
Arizona,2020-09-12,CLI,1.8
Arizona,2020-09-13,CLI,2.1
Arizona,2020-09-14,CLI,1.7
Arizona,2020-09-15,CLI,1.9
Arizona,2020-09-16,CLI,1.9
Arizona,2020-09-17,CLI,1.9
Arizona,2020-09-18,CLI,1.8
Arizona,2020-09-19,CLI,2
Arizona,2020-09-20,CLI,2
Arizona,2020-09-21,CLI,2
Arizona,2020-09-22,CLI,2.3
Arizona,2020-09-23,CLI,1.8
Arizona,2020-09-24,CLI,2.1
Arizona,2020-09-25,CLI,2.1
Arizona,2020-09-26,CLI,1.8
Arizona,2020-09-27,CLI,2.1
Arizona,2020-09-28,CLI,1.8
Arizona,2020-09-29,CLI,1.9
Arizona,2020-09-30,CLI,1.7
Arizona,2020-10-01,CLI,2.2
Arizona,2020-10-02,CLI,2
Arizona,2020-10-03,CLI,2.4
Arkansas,2020-08-08,CLI,2.8
Arkansas,2020-08-09,CLI,2.3
Arkansas,2020-08-10,CLI,2.9
Arkansas,2020-08-11,CLI,2.7
Arkansas,2020-08-12,CLI,2.7
Arkansas,2020-08-13,CLI,2.2
Arkansas,2020-08-14,CLI,2.3
Arkansas,2020-08-15,CLI,2.5
Arkansas,2020-08-16,CLI,2.8
Arkansas,2020-08-17,CLI,2.1
Arkansas,2020-08-18,CLI,2.3
Arkansas,2020-08-19,CLI,2.3
Arkansas,2020-08-20,CLI,2.1
Arkansas,2020-08-21,CLI,2.2
Arkansas,2020-08-22,CLI,1.8
Arkansas,2020-08-23,CLI,2.3
Arkansas,2020-08-24,CLI,2.3
Arkansas,2020-08-25,CLI,2.1
Arkansas,2020-08-26,CLI,2.4
Arkansas,2020-08-27,CLI,2.4
Arkansas,2020-08-28,CLI,2.1
Arkansas,2020-08-29,CLI,2.8
Arkansas,2020-08-30,CLI,2.7
Arkansas,2020-08-31,CLI,2.2
Arkansas,2020-09-01,CLI,2.1
Arkansas,2020-09-02,CLI,2
Arkansas,2020-09-03,CLI,2.4
Arkansas,2020-09-04,CLI,2.3
Arkansas,2020-09-05,CLI,2.6
Arkansas,2020-09-06,CLI,2.2
Arkansas,2020-09-07,CLI,2.6
Arkansas,2020-09-08,CLI,2.4
Arkansas,2020-09-09,CLI,2.4
Arkansas,2020-09-10,CLI,1.8
Arkansas,2020-09-11,CLI,2.6
Arkansas,2020-09-12,CLI,2.6
Arkansas,2020-09-13,CLI,2.5
Arkansas,2020-09-14,CLI,2.5
Arkansas,2020-09-15,CLI,2.1
Arkansas,2020-09-16,CLI,2.6
Arkansas,2020-09-17,CLI,2.7
Arkansas,2020-09-18,CLI,2.4
Arkansas,2020-09-19,CLI,3.4
Arkansas,2020-09-20,CLI,2.5
Arkansas,2020-09-21,CLI,2.5
Arkansas,2020-09-22,CLI,3.2
Arkansas,2020-09-23,CLI,3.1
Arkansas,2020-09-24,CLI,2.8
Arkansas,2020-09-25,CLI,1.9
Arkansas,2020-09-26,CLI,2.4
Arkansas,2020-09-27,CLI,3
Arkansas,2020-09-28,CLI,2.8
Arkansas,2020-09-29,CLI,2.4
Arkansas,2020-09-30,CLI,2.5
Arkansas,2020-10-01,CLI,2.3
Arkansas,2020-10-02,CLI,2.3
Arkansas,2020-10-03,CLI,2.6
Connecticut,2020-08-08,CLI,1.1
Connecticut,2020-08-09,CLI,0.8
Connecticut,2020-08-10,CLI,1.1
Connecticut,2020-08-11,CLI,0.9
Connecticut,2020-08-12,CLI,1.2
Connecticut,2020-08-13,CLI,1.3
Connecticut,2020-08-14,CLI,1.1
Connecticut,2020-08-15,CLI,1.1
Connecticut,2020-08-16,CLI,1.6
Connecticut,2020-08-17,CLI,1.1
Connecticut,2020-08-18,CLI,1.3
Connecticut,2020-08-19,CLI,1.2
Connecticut,2020-08-20,CLI,1.3
Connecticut,2020-08-21,CLI,1.4
Connecticut,2020-08-22,CLI,1.3
Connecticut,2020-08-23,CLI,1.8
Connecticut,2020-08-24,CLI,1.3
Connecticut,2020-08-25,CLI,1.8
Connecticut,2020-08-26,CLI,1.3
Connecticut,2020-08-27,CLI,1.4
Connecticut,2020-08-28,CLI,1.1
Connecticut,2020-08-29,CLI,1.2
Connecticut,2020-08-30,CLI,1
Connecticut,2020-08-31,CLI,1.2
Connecticut,2020-09-01,CLI,1.2
Connecticut,2020-09-02,CLI,1.4
Connecticut,2020-09-03,CLI,1.2
Connecticut,2020-09-04,CLI,1.3
Connecticut,2020-09-05,CLI,1
Connecticut,2020-09-06,CLI,1.1
Connecticut,2020-09-07,CLI,1.4
Connecticut,2020-09-08,CLI,1.9
Connecticut,2020-09-09,CLI,1.5
Connecticut,2020-09-10,CLI,1.1
Connecticut,2020-09-11,CLI,1.2
Connecticut,2020-09-12,CLI,1.2
Connecticut,2020-09-13,CLI,1.3
Connecticut,2020-09-14,CLI,1.5
Connecticut,2020-09-15,CLI,1.4
Connecticut,2020-09-16,CLI,1.6
Connecticut,2020-09-17,CLI,1.6
Connecticut,2020-09-18,CLI,1.5
Connecticut,2020-09-19,CLI,2.1
Connecticut,2020-09-20,CLI,1.6
Connecticut,2020-09-21,CLI,1.8
Connecticut,2020-09-22,CLI,1.3
Connecticut,2020-09-23,CLI,1.6
Connecticut,2020-09-24,CLI,1.8
Connecticut,2020-09-25,CLI,1.5
Connecticut,2020-09-26,CLI,1.6
Connecticut,2020-09-27,CLI,1.8
Connecticut,2020-09-28,CLI,2.1
Connecticut,2020-09-29,CLI,1.6
Connecticut,2020-09-30,CLI,1.8
Connecticut,2020-10-01,CLI,1.7
Connecticut,2020-10-02,CLI,1.5
Connecticut,2020-10-03,CLI,1.6
Delaware,2020-08-08,CLI,1.9
Delaware,2020-08-09,CLI,1
Delaware,2020-08-10,CLI,1.3
Delaware,2020-08-11,CLI,1.6
Delaware,2020-08-12,CLI,1.3
Delaware,2020-08-13,CLI,1.9
Delaware,2020-08-14,CLI,2.3
Delaware,2020-08-15,CLI,0.9
Delaware,2020-08-16,CLI,2.7
Delaware,2020-08-17,CLI,1.3
Delaware,2020-08-18,CLI,1.4
Delaware,2020-08-19,CLI,1.3
Delaware,2020-08-20,CLI,2.2
Delaware,2020-08-21,CLI,1.1
Delaware,2020-08-22,CLI,2.2
Delaware,2020-08-23,CLI,1.1
Delaware,2020-08-24,CLI,1.3
Delaware,2020-08-25,CLI,2.1
Delaware,2020-08-26,CLI,1.3
Delaware,2020-08-27,CLI,1.7
Delaware,2020-08-28,CLI,1.8
Delaware,2020-08-29,CLI,1.1
Delaware,2020-08-30,CLI,1.3
Delaware,2020-08-31,CLI,2
Delaware,2020-09-01,CLI,2
Delaware,2020-09-02,CLI,1.4
Delaware,2020-09-03,CLI,2.1
Delaware,2020-09-04,CLI,1.4
Delaware,2020-09-05,CLI,1.4
Delaware,2020-09-06,CLI,2.1
Delaware,2020-09-07,CLI,1.9
Delaware,2020-09-08,CLI,2.4
Delaware,2020-09-09,CLI,2
Delaware,2020-09-10,CLI,1.2
Delaware,2020-09-11,CLI,1.6
Delaware,2020-09-12,CLI,1.9
Delaware,2020-09-13,CLI,1.3
Delaware,2020-09-14,CLI,1.7
Delaware,2020-09-15,CLI,1.4
Delaware,2020-09-16,CLI,0.7
Delaware,2020-09-17,CLI,0.9
Delaware,2020-09-18,CLI,0.5
Delaware,2020-09-19,CLI,0.4
Delaware,2020-09-20,CLI,1.7
Delaware,2020-09-21,CLI,0.7
Delaware,2020-09-22,CLI,1.1
Delaware,2020-09-23,CLI,2
Delaware,2020-09-24,CLI,1.4
Delaware,2020-09-25,CLI,2.1
Delaware,2020-09-26,CLI,2
Delaware,2020-09-27,CLI,2.2
Delaware,2020-09-28,CLI,0.2
Delaware,2020-09-29,CLI,1.2
Delaware,2020-09-30,CLI,2.2
Delaware,2020-10-01,CLI,0.9
Delaware,2020-10-02,CLI,2.2
Delaware,2020-10-03,CLI,1.9
District of Columbia,2020-08-08,CLI,3.1
District of Columbia,2020-08-09,CLI,2.6
District of Columbia,2020-08-10,CLI,1.6
District of Columbia,2020-08-11,CLI,2.2
District of Columbia,2020-08-12,CLI,2.7
District of Columbia,2020-08-13,CLI,2.6
District of Columbia,2020-08-14,CLI,2.6
District of Columbia,2020-08-15,CLI,2.1
District of Columbia,2020-08-16,CLI,1.7
District of Columbia,2020-08-17,CLI,2.3
District of Columbia,2020-08-18,CLI,1.7
District of Columbia,2020-08-19,CLI,1.7
District of Columbia,2020-08-20,CLI,2.4
District of Columbia,2020-08-21,CLI,2.2
District of Columbia,2020-08-22,CLI,3.1
District of Columbia,2020-08-23,CLI,2.3
District of Columbia,2020-08-24,CLI,1.7
District of Columbia,2020-08-25,CLI,2.5
District of Columbia,2020-08-26,CLI,1.8
District of Columbia,2020-08-27,CLI,1.9
District of Columbia,2020-08-28,CLI,1.6
District of Columbia,2020-08-29,CLI,2
District of Columbia,2020-08-30,CLI,2.3
District of Columbia,2020-08-31,CLI,2.3
District of Columbia,2020-09-01,CLI,1.9
District of Columbia,2020-09-02,CLI,1.6
District of Columbia,2020-09-03,CLI,1.4
District of Columbia,2020-09-04,CLI,2
District of Columbia,2020-09-05,CLI,2.2
District of Columbia,2020-09-06,CLI,1.5
District of Columbia,2020-09-07,CLI,2
District of Columbia,2020-09-08,CLI,1.4
District of Columbia,2020-09-09,CLI,2.3
District of Columbia,2020-09-10,CLI,2.4
District of Columbia,2020-09-11,CLI,1.3
District of Columbia,2020-09-12,CLI,1.6
District of Columbia,2020-09-13,CLI,1.6
District of Columbia,2020-09-14,CLI,1.4
District of Columbia,2020-09-15,CLI,2.2
District of Columbia,2020-09-16,CLI,1.3
District of Columbia,2020-09-17,CLI,1.9
District of Columbia,2020-09-18,CLI,1.6
District of Columbia,2020-09-19,CLI,1.4
District of Columbia,2020-09-20,CLI,1.1
District of Columbia,2020-09-21,CLI,1.3
District of Columbia,2020-09-22,CLI,1
District of Columbia,2020-09-23,CLI,1
District of Columbia,2020-09-24,CLI,1.2
District of Columbia,2020-09-25,CLI,1.4
District of Columbia,2020-09-26,CLI,0.4
District of Columbia,2020-09-27,CLI,0.9
District of Columbia,2020-09-28,CLI,1.4
District of Columbia,2020-09-29,CLI,0.7
District of Columbia,2020-09-30,CLI,1.1
District of Columbia,2020-10-01,CLI,0.7
District of Columbia,2020-10-02,CLI,0.9
District of Columbia,2020-10-03,CLI,0.6
Florida,2020-08-08,CLI,4.8
Florida,2020-08-09,CLI,4.5
Florida,2020-08-10,CLI,5
Florida,2020-08-11,CLI,4.8
Florida,2020-08-12,CLI,4.4
Florida,2020-08-13,CLI,4.1
Florida,2020-08-14,CLI,4.3
Florida,2020-08-15,CLI,3.7
Florida,2020-08-16,CLI,3.9
Florida,2020-08-17,CLI,4
Florida,2020-08-18,CLI,3.6
Florida,2020-08-19,CLI,3.7
Florida,2020-08-20,CLI,3.5
Florida,2020-08-21,CLI,3.4
Florida,2020-08-22,CLI,3
Florida,2020-08-23,CLI,3.2
Florida,2020-08-24,CLI,3.1
Florida,2020-08-25,CLI,3.1
Florida,2020-08-26,CLI,3
Florida,2020-08-27,CLI,2.8
Florida,2020-08-28,CLI,2.9
Florida,2020-08-29,CLI,2.7
Florida,2020-08-30,CLI,2.7
Florida,2020-08-31,CLI,2.8
Florida,2020-09-01,CLI,2.8
Florida,2020-09-02,CLI,2.7
Florida,2020-09-03,CLI,2.7
Florida,2020-09-04,CLI,2.4
Florida,2020-09-05,CLI,2.4
Florida,2020-09-06,CLI,2.6
Florida,2020-09-07,CLI,2.9
Florida,2020-09-08,CLI,2.6
Florida,2020-09-09,CLI,2.5
Florida,2020-09-10,CLI,2.4
Florida,2020-09-11,CLI,2.5
Florida,2020-09-12,CLI,2.5
Florida,2020-09-13,CLI,2.3
Florida,2020-09-14,CLI,2.5
Florida,2020-09-15,CLI,2.3
Florida,2020-09-16,CLI,2.4
Florida,2020-09-17,CLI,2.4
Florida,2020-09-18,CLI,2.4
Florida,2020-09-19,CLI,2.4
Florida,2020-09-20,CLI,2.2
Florida,2020-09-21,CLI,2.5
Florida,2020-09-22,CLI,2.4
Florida,2020-09-23,CLI,2.3
Florida,2020-09-24,CLI,2.4
Florida,2020-09-25,CLI,2.2
Florida,2020-09-26,CLI,2.1
Florida,2020-09-27,CLI,2.2
Florida,2020-09-28,CLI,2.2
Florida,2020-09-29,CLI,2
Florida,2020-09-30,CLI,2.1
Florida,2020-10-01,CLI,1.7
Florida,2020-10-02,CLI,1.8
Florida,2020-10-03,CLI,1.9
Georgia,2020-08-08,CLI,3.8
Georgia,2020-08-09,CLI,4.5
Georgia,2020-08-10,CLI,4
Georgia,2020-08-11,CLI,4
Georgia,2020-08-12,CLI,3.5
Georgia,2020-08-13,CLI,3.6
Georgia,2020-08-14,CLI,3.4
Georgia,2020-08-15,CLI,2.9
Georgia,2020-08-16,CLI,3.2
Georgia,2020-08-17,CLI,3.4
Georgia,2020-08-18,CLI,3.1
Georgia,2020-08-19,CLI,3
Georgia,2020-08-20,CLI,3
Georgia,2020-08-21,CLI,2.8
Georgia,2020-08-22,CLI,2.7
Georgia,2020-08-23,CLI,2.9
Georgia,2020-08-24,CLI,2.7
Georgia,2020-08-25,CLI,3
Georgia,2020-08-26,CLI,2.6
Georgia,2020-08-27,CLI,2.6
Georgia,2020-08-28,CLI,2.7
Georgia,2020-08-29,CLI,2.8
Georgia,2020-08-30,CLI,3
Georgia,2020-08-31,CLI,2.7
Georgia,2020-09-01,CLI,3
Georgia,2020-09-02,CLI,2.5
Georgia,2020-09-03,CLI,2.2
Georgia,2020-09-04,CLI,2.9
Georgia,2020-09-05,CLI,2.4
Georgia,2020-09-06,CLI,2.7
Georgia,2020-09-07,CLI,2.8
Georgia,2020-09-08,CLI,2.7
Georgia,2020-09-09,CLI,2.6
Georgia,2020-09-10,CLI,2.7
Georgia,2020-09-11,CLI,2.4
Georgia,2020-09-12,CLI,2.4
Georgia,2020-09-13,CLI,2.8
Georgia,2020-09-14,CLI,2.4
Georgia,2020-09-15,CLI,2.6
Georgia,2020-09-16,CLI,2.4
Georgia,2020-09-17,CLI,2.5
Georgia,2020-09-18,CLI,2
Georgia,2020-09-19,CLI,2.5
Georgia,2020-09-20,CLI,2.5
Georgia,2020-09-21,CLI,2.4
Georgia,2020-09-22,CLI,2.1
Georgia,2020-09-23,CLI,2.3
Georgia,2020-09-24,CLI,2.5
Georgia,2020-09-25,CLI,2.3
Georgia,2020-09-26,CLI,2.1
Georgia,2020-09-27,CLI,2.6
Georgia,2020-09-28,CLI,2.5
Georgia,2020-09-29,CLI,2.4
Georgia,2020-09-30,CLI,2.3
Georgia,2020-10-01,CLI,1.8
Georgia,2020-10-02,CLI,2.3
Georgia,2020-10-03,CLI,2.2
Idaho,2020-08-08,CLI,3.5
Idaho,2020-08-09,CLI,3.7
Idaho,2020-08-10,CLI,4.1
Idaho,2020-08-11,CLI,4.2
Idaho,2020-08-12,CLI,4.1
Idaho,2020-08-13,CLI,4.4
Idaho,2020-08-14,CLI,4.1
Idaho,2020-08-15,CLI,3.6
Idaho,2020-08-16,CLI,4.4
Idaho,2020-08-17,CLI,4.1
Idaho,2020-08-18,CLI,3.6
Idaho,2020-08-19,CLI,5.2
Idaho,2020-08-20,CLI,3.1
Idaho,2020-08-21,CLI,3.7
Idaho,2020-08-22,CLI,2.8
Idaho,2020-08-23,CLI,3.6
Idaho,2020-08-24,CLI,3
Idaho,2020-08-25,CLI,3.3
Idaho,2020-08-26,CLI,3.4
Idaho,2020-08-27,CLI,3.7
Idaho,2020-08-28,CLI,3.2
Idaho,2020-08-29,CLI,3.9
Idaho,2020-08-30,CLI,4.3
Idaho,2020-08-31,CLI,2.9
Idaho,2020-09-01,CLI,3.3
Idaho,2020-09-02,CLI,2.8
Idaho,2020-09-03,CLI,3
Idaho,2020-09-04,CLI,2.8
Idaho,2020-09-05,CLI,3
Idaho,2020-09-06,CLI,2.3
Idaho,2020-09-07,CLI,2.6
Idaho,2020-09-08,CLI,3.4
Idaho,2020-09-09,CLI,3.5
Idaho,2020-09-10,CLI,3.9
Idaho,2020-09-11,CLI,2.7
Idaho,2020-09-12,CLI,2.9
Idaho,2020-09-13,CLI,2.5
Idaho,2020-09-14,CLI,2.8
Idaho,2020-09-15,CLI,3
Idaho,2020-09-16,CLI,2.5
Idaho,2020-09-17,CLI,3.4
Idaho,2020-09-18,CLI,2.8
Idaho,2020-09-19,CLI,3.2
Idaho,2020-09-20,CLI,2.7
Idaho,2020-09-21,CLI,3.1
Idaho,2020-09-22,CLI,3.1
Idaho,2020-09-23,CLI,3.5
Idaho,2020-09-24,CLI,4.2
Idaho,2020-09-25,CLI,2.3
Idaho,2020-09-26,CLI,3.3
Idaho,2020-09-27,CLI,3.5
Idaho,2020-09-28,CLI,3.8
Idaho,2020-09-29,CLI,3.6
Idaho,2020-09-30,CLI,2.5
Idaho,2020-10-01,CLI,3.2
Idaho,2020-10-02,CLI,3.2
Idaho,2020-10-03,CLI,3.8
Illinois,2020-08-08,CLI,2.5
Illinois,2020-08-09,CLI,2.7
Illinois,2020-08-10,CLI,2.5
Illinois,2020-08-11,CLI,2.7
Illinois,2020-08-12,CLI,2.8
Illinois,2020-08-13,CLI,2.9
Illinois,2020-08-14,CLI,2.8
Illinois,2020-08-15,CLI,3
Illinois,2020-08-16,CLI,2.8
Illinois,2020-08-17,CLI,2.8
Illinois,2020-08-18,CLI,2.7
Illinois,2020-08-19,CLI,2.7
Illinois,2020-08-20,CLI,2.8
Illinois,2020-08-21,CLI,2.8
Illinois,2020-08-22,CLI,2.4
Illinois,2020-08-23,CLI,2.5
Illinois,2020-08-24,CLI,3.1
Illinois,2020-08-25,CLI,2.9
Illinois,2020-08-26,CLI,2.9
Illinois,2020-08-27,CLI,2.9
Illinois,2020-08-28,CLI,2.6
Illinois,2020-08-29,CLI,2.6
Illinois,2020-08-30,CLI,2.9
Illinois,2020-08-31,CLI,2.7
Illinois,2020-09-01,CLI,2.5
Illinois,2020-09-02,CLI,2.6
Illinois,2020-09-03,CLI,2.5
Illinois,2020-09-04,CLI,2.4
Illinois,2020-09-05,CLI,2.4
Illinois,2020-09-06,CLI,2.3
Illinois,2020-09-07,CLI,2.3
Illinois,2020-09-08,CLI,2.5
Illinois,2020-09-09,CLI,2.4
Illinois,2020-09-10,CLI,2.4
Illinois,2020-09-11,CLI,2.5
Illinois,2020-09-12,CLI,2.4
Illinois,2020-09-13,CLI,2.1
Illinois,2020-09-14,CLI,2.3
Illinois,2020-09-15,CLI,2.3
Illinois,2020-09-16,CLI,2.5
Illinois,2020-09-17,CLI,2.3
Illinois,2020-09-18,CLI,2.6
Illinois,2020-09-19,CLI,2.2
Illinois,2020-09-20,CLI,2.3
Illinois,2020-09-21,CLI,2.8
Illinois,2020-09-22,CLI,2.7
Illinois,2020-09-23,CLI,2.8
Illinois,2020-09-24,CLI,2.4
Illinois,2020-09-25,CLI,2.7
Illinois,2020-09-26,CLI,2.4
Illinois,2020-09-27,CLI,2.3
Illinois,2020-09-28,CLI,2.5
Illinois,2020-09-29,CLI,2.4
Illinois,2020-09-30,CLI,2.3
Illinois,2020-10-01,CLI,2.4
Illinois,2020-10-02,CLI,2.5
Illinois,2020-10-03,CLI,2.7
Kansas,2020-08-08,CLI,3.1
Kansas,2020-08-09,CLI,2.8
Kansas,2020-08-10,CLI,4
Kansas,2020-08-11,CLI,3.5
Kansas,2020-08-12,CLI,3.6
Kansas,2020-08-13,CLI,3.8
Kansas,2020-08-14,CLI,3.1
Kansas,2020-08-15,CLI,3.1
Kansas,2020-08-16,CLI,3.1
Kansas,2020-08-17,CLI,3.6
Kansas,2020-08-18,CLI,3.5
Kansas,2020-08-19,CLI,3
Kansas,2020-08-20,CLI,3
Kansas,2020-08-21,CLI,3.1
Kansas,2020-08-22,CLI,3.6
Kansas,2020-08-23,CLI,3.5
Kansas,2020-08-24,CLI,2.8
Kansas,2020-08-25,CLI,4
Kansas,2020-08-26,CLI,3.2
Kansas,2020-08-27,CLI,3.7
Kansas,2020-08-28,CLI,2.9
Kansas,2020-08-29,CLI,3.2
Kansas,2020-08-30,CLI,3
Kansas,2020-08-31,CLI,3.2
Kansas,2020-09-01,CLI,3
Kansas,2020-09-02,CLI,3.5
Kansas,2020-09-03,CLI,2.9
Kansas,2020-09-04,CLI,2.9
Kansas,2020-09-05,CLI,2.8
Kansas,2020-09-06,CLI,2.8
Kansas,2020-09-07,CLI,2.6
Kansas,2020-09-08,CLI,3.4
Kansas,2020-09-09,CLI,3.1
Kansas,2020-09-10,CLI,3.2
Kansas,2020-09-11,CLI,3.3
Kansas,2020-09-12,CLI,2.8
Kansas,2020-09-13,CLI,2.9
Kansas,2020-09-14,CLI,3.8
Kansas,2020-09-15,CLI,3.2
Kansas,2020-09-16,CLI,3.6
Kansas,2020-09-17,CLI,3.1
Kansas,2020-09-18,CLI,3.2
Kansas,2020-09-19,CLI,4.1
Kansas,2020-09-20,CLI,3.9
Kansas,2020-09-21,CLI,4.3
Kansas,2020-09-22,CLI,3.7
Kansas,2020-09-23,CLI,3.4
Kansas,2020-09-24,CLI,4.2
Kansas,2020-09-25,CLI,3.5
Kansas,2020-09-26,CLI,3
Kansas,2020-09-27,CLI,2.6
Kansas,2020-09-28,CLI,3.1
Kansas,2020-09-29,CLI,3.7
Kansas,2020-09-30,CLI,3
Kansas,2020-10-01,CLI,3.1
Kansas,2020-10-02,CLI,3.6
Kansas,2020-10-03,CLI,3.6
Kentucky,2020-08-08,CLI,2.7
Kentucky,2020-08-09,CLI,2.8
Kentucky,2020-08-10,CLI,2.3
